epoch,train_loss,val_loss,mIoU,precision,recall,f1
1,1.286971,1.318755,0.111827,0.173231,0.229061,0.168052
2,1.246189,1.233894,0.174576,0.256645,0.291619,0.256356
3,1.189231,1.284643,0.175805,0.270346,0.303126,0.257162
4,1.178518,1.192132,0.155539,0.271345,0.267211,0.225352
5,1.148863,1.183654,0.166600,0.295083,0.280760,0.238148
6,1.132959,1.157553,0.174826,0.285373,0.291371,0.247952
7,1.113519,1.136939,0.207737,0.334261,0.322580,0.295791
8,1.110570,1.125871,0.191342,0.339765,0.304411,0.270240
9,1.091010,1.120711,0.197922,0.362791,0.312444,0.281045
10,1.082019,1.100189,0.232597,0.386924,0.348668,0.328435
