epoch,train_loss,val_loss,mIoU,precision,recall,f1
1,1.925917,1.752507,0.067726,0.086027,0.127071,0.089167
2,1.657355,1.559105,0.085977,0.158258,0.148396,0.114177
3,1.532674,1.434852,0.109854,0.158020,0.185649,0.146911
4,1.485237,1.400302,0.124581,0.193737,0.197314,0.166838
5,1.406331,1.426973,0.120057,0.173725,0.190844,0.162964
6,1.355610,1.273598,0.139355,0.189496,0.214083,0.185373
7,1.406020,1.285024,0.135477,0.179231,0.215304,0.179225
8,1.299071,1.246906,0.132891,0.189727,0.204006,0.174933
9,1.249587,1.203334,0.136536,0.196543,0.210656,0.179634
10,1.508211,1.456151,0.109052,0.153816,0.184142,0.148707
