epoch,train_loss,val_loss,mIoU,precision,recall,f1
1,1.171606,0.904529,0.255621,0.344712,0.346124,0.340107
2,0.833470,0.797483,0.306143,0.499161,0.404582,0.402074
3,0.738674,0.720719,0.364555,0.515724,0.468483,0.477014
4,0.686511,0.679467,0.373711,0.551887,0.467556,0.484160
5,0.646641,0.634872,0.395796,0.551341,0.491819,0.508258
6,0.629981,0.694397,0.353320,0.584056,0.435937,0.458631
7,0.602320,0.649319,0.401918,0.554286,0.509209,0.518717
8,0.597642,0.624250,0.416604,0.551569,0.528249,0.534619
9,0.586130,0.586881,0.428237,0.573137,0.529809,0.543465
10,0.580747,0.765194,0.358002,0.593563,0.451428,0.482374
